cid,zcmb,MU_SH0ES,u_mean,g_mean,r_mean,i_mean,z_mean,u_median,g_median,r_median,i_median,z_median,z_diff_mean,z_diff_median
5350,0.17431,39.5053,19.70614266666667,18.83931983333333,18.119403833333333,17.59101466666667,17.388061666666665,19.47911,18.531405,17.757745,17.216425,17.006895,-2.226666666660369e-06,1.4800000000009235e-05
5391,0.30022,40.8795,20.34141661971831,19.84013,19.19070605633803,19.057001690140844,18.543541830985916,19.90638,19.70428,18.89389,18.74641,18.27117,-2.6116901408438545e-05,-5.23000000000051e-05
5395,0.11635,38.6302,19.441494833333334,18.49067416666667,17.809113500000002,17.35647583333333,17.16934216666667,18.895225,17.932325,17.258490000000002,16.79927,16.615560000000002,7.373333333338121e-06,-4.999999999991099e-06
5533,0.21887,40.1292,20.402550579710145,19.785710579710145,19.066143188405796,18.538184057971016,18.385645942028987,19.95897,19.33341,18.58654,18.14871,18.12331,3.810144927527989e-06,7.49999999999362e-06
5549,0.11992,38.5958,19.62028859649123,18.63116701754386,17.94043859649123,17.466698771929824,17.229437192982456,19.20555,18.06462,17.16285,16.66899,16.48389,-1.2663157894736147e-05,-3.05000000000027e-05
5550,0.15493,39.2076,21.011668695652173,20.176130652173914,19.437979347826086,18.901872173913045,18.62907304347826,20.451225,19.89801,19.534215000000003,18.950815,18.84243,-4.2371739130446977e-05,-3.325000000001235e-05
5635,0.17839,39.9669,19.670012999999997,18.976084,18.304287666666667,17.820642666666668,17.6611655,19.331225,18.65452,17.979779999999998,17.586955,17.530659999999997,1.8465000000005367e-05,5.11000000000122e-05
5717,0.25037,40.5692,20.475308021978023,19.905666483516484,19.2004178021978,18.836036373626374,18.568077032967032,19.996,19.50223,18.91843,18.55902,18.23517,2.5636263736280505e-05,3.79999999999824e-06
5736,0.25394,40.4546,20.410566,19.741921818181815,19.050158545454547,18.820513272727272,18.447178545454545,20.12604,19.4262,18.71258,18.48831,18.07831,-5.799999999954763e-07,7.00000000020129e-07
5751,0.12929,38.833,19.907263015873017,18.85390634920635,18.162125555555555,17.634422063492064,17.35632841269841,19.38339,18.24101,17.32558,16.89034,16.61403,-2.947936507935493e-05,-2.51999999999752e-05
5844,0.3093,40.9757,20.896116714285714,20.295865428571428,19.591316428571428,19.34703042857143,18.817634,20.371609999999997,19.907405,19.221085000000002,18.97279,18.483625,1.5327142857123667e-05,1.344999999999817e-05
5957,0.27924,40.7037,20.85882635294118,20.202383529411765,19.596313529411763,19.267928,18.822101411764706,20.56113,19.81092,19.12629,18.85173,18.41502,-6.735294117637652e-06,-4.10000000000687e-06
5966,0.30822,40.9533,-120.7916661971831,-121.31320126760565,-121.8414333802817,-122.03038788732394,-122.53055605633803,19.74114,19.39421,18.83665,18.58249,18.12351,-1.5004225352106286e-05,5.90000000000312e-06
5994,0.18801,39.7451,19.974712972972974,19.325810675675676,18.69086864864865,18.203383108108106,18.064833783783786,19.601795000000003,18.847189999999998,18.130855,17.68811,17.66367,-3.838648648649834e-05,-8.590000000001369e-05
6057,0.06652,37.1627,20.170841199999998,18.6041292,17.9594656,17.5717468,17.333758800000002,18.85957,17.34644,16.57315,16.08807,15.89818,2.8529600000003387e-05,0.000101299999999998
6100,0.31613,41.1979,20.4379406,19.8033842,19.132527,18.912469,18.3837538,20.32014,19.83006,18.868385,18.68631,18.057164999999998,-3.3058000000020174e-05,-0.000105750000000015
